Field,Category,Generic,Original_Dell,Definition_or_Notes
LOB,Server,Server Line A,Poweredge,Core server line; highest volume
LOB,Server,Server Line B (AI),Poweredge AI,"Low volume, high growth, high touch"
LOB,Storage,Storage Array C,Powerscale,Scale-out storage
LOB,Storage,Storage Array D,Powerflex,Software-defined storage
LOB,Storage,Storage Array H,Unity,Midrange storage
LOB,Data Protection,Data Protection B,Datadomain,Backup / dedup
LOB,Hyperconverged,Hyperconverged A,Vxrail,HCI cluster; dual-BU 4-tab candidate
LOB,Networking,Networking A,Powerswitch,Switching; lower dispatch rate
Business Unit,,Unit A,ISG,Infrastructure Solutions Group
Business Unit,,Unit B,CSG,Client Solutions Group
Warranty Type,,Basic,Basic,
Warranty Type,,Premium,ProSupport,
Warranty Type,,Premium Flex,ProSupport Flex,
Warranty Type,,Premium Plus,ProSupport Plus,
Region,,Americas / EMEA / APJ,(unchanged),
Service Type,,Parts Only / Parts + Labour / Labour Only,(unchanged),
Core/Upsell,,Core / Upsell,(unchanged),
W/O Type,,Break fix / Part/s dispatch,(unchanged),
GCFA Type,,GCFA / non-GCFA / Unknown,(unchanged),
Metric,Real,ASU,,"Active Service Units (installed asset level, weekly)"
Metric,Real,APOS,,APOS contracts (master)
Metric,Real,Renewals,,Renewed units (master)
Metric,Derived,Expiring,,Chain balancing outflow: closes ASU chain
Metric,Derived,New Contract,,Modelled inflow ~0.0040*ASU
Metric,Derived,APOS Renewal,,Renewed units re-entering ASU ~0.0009*ASU (editable APOS field)
Metric,Derived,Dispatches,,ASU * MDR(0.00072*mult) * noise; No IQR series
Metric,Derived,SRs,,ASU * ICR(0.00130*mult) * noise; No IQR series
Concept,,MDR,,Dispatches / ASU (weekly dispatch rate)
Concept,,ICR,,SRs / ASU (weekly SR rate)
Concept,,No IQR,,Original statistical forecast; BTC starting point
Concept,,Adj,,BTC-adjusted series (starts = No IQR; sliders bend it)
Concept,,Series,,Actual (FY22-26) or Forecast (FY27)
Assumption,,SMOD/ICR target,,92% of DS forecast rate (~8% bend-down)
Assumption,,ASU chain,,ASU[w]=ASU[w-1]-Expiring+New Contract+APOS Renewal (exact within FY)
